epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.17188841,0.755722,0.171888453612411,0.31600156,0.1025136,0.9090932,0.10251359727811094,0.29231286
1,0.066352636,0.94099593,0.06635262335316978,0.15384035,0.07925972,0.9417578,0.07925972515827016,0.28023905
2,0.050001875,0.9613523,0.050001835297143776,0.13533045,0.10806945,0.87020004,0.10806944735542409,0.23658706
3,0.04361043,0.9673969,0.04361042627405993,0.12011458,0.06427887,0.9537599,0.06427887733540254,0.23614997
4,0.038211595,0.9746237,0.03821160392425398,0.109831035,0.064650446,0.95127076,0.064650439790901,0.23462538
5,0.038352706,0.972453,0.03835270620539226,0.10618793,0.059063498,0.9618255,0.059063508462758714,0.20985882
6,0.033154126,0.9787373,0.033154123959493166,0.09949315,0.05024933,0.9647896,0.05024932416153379,0.14853634
7,0.033248108,0.9782368,0.033248113719610825,0.08875879,0.050007124,0.9684955,0.050007127350086375,0.21500692
8,0.032142647,0.979654,0.03214262773176957,0.08579685,0.05605051,0.95798224,0.05605050397753225,0.18267594
9,0.0281798,0.9838017,0.028179788385144497,0.08654042,0.052993186,0.9643566,0.05299318757199456,0.21976295
10,0.02963306,0.9817448,0.029633073625033226,0.088014185,0.04370883,0.9745136,0.04370882357119369,0.15959305
11,0.02862729,0.9830953,0.028627286716071287,0.08416432,0.04602909,0.9688772,0.04602908269286319,0.19985707
12,0.033574525,0.97690827,0.03357451636058579,0.07089467,0.058310725,0.94289166,0.05831072106446422,0.17233552
13,0.026445746,0.9858422,0.02644575330935261,0.07081179,0.043565273,0.9725763,0.04356528010081362,0.17315298
14,0.027263742,0.9836365,0.027263730327604978,0.077948935,0.038084757,0.97931415,0.03808474912830668,0.15619561
15,0.025435103,0.98627186,0.025435095099450588,0.071469136,0.044739373,0.9742878,0.044739366013081476,0.17241798
16,0.027590543,0.98285025,0.027590540014811354,0.07233916,0.044479568,0.97823083,0.04447955582265337,0.110650286
17,0.03807995,0.97010416,0.03807995579160837,0.06956031,0.043387253,0.97328573,0.043387266218825785,0.13942295
18,0.025085779,0.9864616,0.025085785733910394,0.06737939,0.03911504,0.9779842,0.03911503811861262,0.14461762
19,0.030388413,0.9796069,0.030388409449450423,0.07025952,0.044961236,0.97329766,0.04496123673412208,0.16159038
20,0.023366528,0.9884842,0.02336652964927523,0.07254354,0.04084139,0.97944474,0.04084140210321738,0.16701192
21,0.022972673,0.9884074,0.02297267694668782,0.07233879,0.043557815,0.96871406,0.04355782606065355,0.12890717
22,0.024198927,0.9872711,0.024198931733072433,0.06610114,0.036044683,0.981941,0.03604468112435851,0.149149
23,0.022522679,0.9883257,0.02252267043755377,0.06973845,0.042203892,0.9746587,0.042203889786175085,0.15925847
24,0.03372654,0.9745076,0.03372653894890105,0.07783269,0.050297797,0.96319157,0.050297786133933625,0.16711807
