epoch,cos_distmet_2D_angular,cosine_proximity,loss,mse,val_cos_distmet_2D_angular,val_cosine_proximity,val_loss,val_mse
0,0.23245236,0.64206386,0.23245240270878528,0.37040025,0.17397,0.7632368,0.17396999421760706,0.27595475
1,0.17489418,0.753718,0.17489412996610507,0.2832059,0.15918738,0.78412086,0.15918737447964965,0.23506398
2,0.14646994,0.80690926,0.14646990084299796,0.22362664,0.13650681,0.8210002,0.13650682457353516,0.20442554
3,0.1335037,0.82557565,0.1335037029782112,0.18837246,0.15997338,0.7828615,0.15997337039933118,0.22489028
4,0.16972135,0.75422996,0.16972132369273965,0.26513606,0.11614673,0.85543805,0.11614674371865225,0.1456206
5,0.108476035,0.86546254,0.10847605442532889,0.13281715,0.112599425,0.8594434,0.11259942123019974,0.13978358
6,0.094315626,0.8886727,0.09431561723513908,0.11659447,0.11667429,0.84757453,0.11667426655321946,0.17225026
7,0.101826265,0.8709675,0.10182623734177824,0.13853352,0.08573882,0.90617335,0.0857388038816766,0.09528868
8,0.08072809,0.90697116,0.08072808737325463,0.09376181,0.077797815,0.9175792,0.0777978108988868,0.08819082
9,0.0841518,0.8989472,0.08415180333064481,0.10034131,0.1152013,0.83178663,0.11520128715348996,0.17905663
10,0.11595547,0.84142125,0.11595544998881319,0.1607596,0.08984226,0.8860977,0.08984228445342211,0.108633995
11,0.09182161,0.88197637,0.09182159951318584,0.11331235,0.07510901,0.90643626,0.07510901875947237,0.091076
12,0.104678474,0.8607888,0.10467851462416447,0.14513391,0.09175016,0.8866079,0.09175014236663431,0.10968873
13,0.12211875,0.8310109,0.12211875557378064,0.18864429,0.08130895,0.9092641,0.0813089650926603,0.09155518
14,0.06801619,0.9263522,0.06801620165900105,0.072056904,0.05495422,0.94715935,0.05495421785467773,0.053579435
15,0.057851903,0.9427151,0.057851923357163354,0.058396045,0.049843907,0.95576096,0.04984390574759089,0.048875052
16,0.057615656,0.94148624,0.057615649296003046,0.061636463,0.06009134,0.93513596,0.06009134890202469,0.07016902
17,0.04913334,0.95440596,0.04913334780344271,0.049119156,0.04714642,0.9557536,0.047146409533314906,0.047380563
18,0.05503349,0.94486934,0.05503348142503764,0.058454473,0.05394016,0.9419595,0.05394016107127827,0.062760666
19,0.06337762,0.9283914,0.06337760692450212,0.07535966,0.05714432,0.93808717,0.05714431416105341,0.067103334
20,0.077201076,0.9059553,0.07720104635329629,0.104323275,0.12341905,0.84079,0.12341904466861887,0.18195999
21,0.11881844,0.84070647,0.11881844570667979,0.17443117,0.19251573,0.7018336,0.19251572756283242,0.26870742
22,0.09822269,0.8755775,0.0982226851310356,0.12830538,0.07249839,0.922534,0.07249839410533303,0.073786
23,0.06255772,0.9355574,0.06255772180825928,0.06433744,0.058643453,0.94076157,0.05864345836050716,0.06308498
24,0.056900464,0.94070405,0.05690048119634884,0.06220501,0.05350189,0.9498228,0.053501901406646596,0.053834036
25,0.067472324,0.9197023,0.06747233542309386,0.082536645,0.049878836,0.9521365,0.04987884656473769,0.05171396
